                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0905,                 3.0852,                 4.1161,                0.00328,                0.64423,                0.02415,                0.00714,                 3.0251,                 3.2487,                 4.1014,             0.00064912,             0.00064912,             0.00064912
                      2,                 2.8486,                 2.9196,                 3.6861,                 0.0297,                0.63462,                0.30214,                 0.0429,                 3.1405,                 5.1129,                 3.8425,              0.0012637,              0.0012637,              0.0012637
                      3,                 2.4397,                 2.7655,                 3.2079,                0.03607,                0.02885,                0.15168,                0.02917,                  2.894,                 3.3204,                 3.4595,              0.0018254,              0.0018254,              0.0018254
                      4,                 2.2368,                 2.5675,                 2.9415,                0.85014,                0.47115,                0.46633,                 0.1901,                 2.2035,                 3.9402,                 3.0698,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.0955,                 2.3994,                 2.7534,                0.68443,                0.28846,                0.37349,                0.25986,                 1.8808,                 2.5527,                 2.7632,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.8727,                 2.1567,                 2.5177,                0.48276,                0.38462,                0.38241,                0.21976,                 1.7678,                 2.8941,                 2.6162,               0.001604,               0.001604,               0.001604
                      7,                 1.7686,                 1.9494,                 2.3807,                0.77517,                0.48077,                0.56384,                0.31399,                 1.8294,                 2.0553,                 2.6322,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.5932,                 1.7019,                 2.2397,                0.78227,                0.55279,                0.59332,                0.31583,                 1.7808,                  1.724,                 2.7068,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4699,                 1.5985,                 2.1342,                0.83674,                0.50962,                0.57155,                0.28161,                 1.9517,                 2.6206,                 2.7329,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.3679,                  1.477,                 2.0262,                0.83139,                0.53846,                0.61732,                0.37876,                 1.5222,                 1.5646,                 2.2836,              0.0012872,              0.0012872,              0.0012872
                     11,                  1.248,                 1.3544,                  1.914,                0.87231,                0.57692,                0.65997,                 0.3977,                 1.4224,                 1.6059,                 2.2576,               0.001208,               0.001208,               0.001208
                     12,                 1.2178,                 1.2417,                 1.8602,                0.97612,                0.58654,                0.66465,                0.43635,                 1.4621,                 1.4371,                 2.2188,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.2084,                  1.259,                 1.8351,                0.93066,                0.65385,                 0.6803,                 0.4231,                 1.4498,                   1.22,                  2.184,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.1428,                 1.1711,                 1.8085,                0.96951,                0.63462,                0.68492,                0.42986,                 1.5802,                 1.2901,                 2.4658,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.1112,                 1.1738,                 1.7644,                0.79621,                0.61538,                0.64969,                0.43876,                  1.355,                  1.242,                  2.136,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.0264,                 1.2719,                 1.8408,                 0.9026,                0.60577,                 0.6562,                0.42361,                 1.3154,                 1.2108,                 2.0842,               0.000812,               0.000812,               0.000812
                     17,                0.90952,                  1.088,                 1.7339,                0.99516,                0.63462,                0.69972,                0.47241,                 1.2306,                 1.1069,                 1.9041,              0.0007328,              0.0007328,              0.0007328
                     18,                0.85567,                 1.0008,                 1.6601,                 0.8804,                0.63707,                0.69442,                0.47841,                 1.2819,                 1.1726,                 1.9454,              0.0006536,              0.0006536,              0.0006536
                     19,                0.82973,                0.95465,                 1.6469,                0.87202,                 0.6552,                 0.6934,                0.47998,                 1.2142,                 1.2431,                 1.8395,              0.0005744,              0.0005744,              0.0005744
                     20,                0.80742,                0.91854,                 1.6235,                0.97083,                0.64008,                0.69342,                0.47501,                 1.1253,                  1.088,                 1.8217,              0.0004952,              0.0004952,              0.0004952
                     21,                0.76618,                0.87239,                 1.5715,                0.98318,                0.65385,                0.69488,                0.48336,                 1.1903,                  1.068,                 1.8585,               0.000416,               0.000416,               0.000416
                     22,                0.73417,                0.83729,                 1.5254,                0.93658,                0.65385,                0.68887,                0.47484,                 1.0925,                 1.0142,                 1.7975,              0.0003368,              0.0003368,              0.0003368
                     23,                0.72136,                0.81879,                 1.5012,                0.98216,                0.66346,                0.71304,                0.50789,                 1.0953,                0.98361,                 1.7338,              0.0002576,              0.0002576,              0.0002576
                     24,                0.71264,                0.78899,                  1.524,                0.98591,                  0.673,                0.71807,                0.51177,                 1.0585,                0.94154,                 1.6873,              0.0001784,              0.0001784,              0.0001784
                     25,                0.64671,                0.73787,                 1.4597,                0.98551,                0.67308,                0.72043,                0.50929,                  1.049,                0.93475,                 1.6678,               9.92e-05,               9.92e-05,               9.92e-05
